None,None,None,13,None,None,None,None,None,None,None,9,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,11,20,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8,None
7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,16,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,8,None,0,None,8,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,None,None,None,7,None,None,None,10,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,19,18,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,19,18,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,19,18,None,None,None,None,None,None,None,None
None,None,22,None,None,None,None,None,14,None,None,None,None,None,None,None,None,None
8,None,None,None,8,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,26,None,None,None,None,None,None,None,23,None,None,24,None
12,12,30,None,12,12,12,12,12,12,None,None,None,12,None,None,12,12
